Business & Personal Services,Commercial & Professional Services,Industrials
Other Industrial Equipment,Capital Goods,Industrials
Life & Health Insurance,Insurance,Financials
Insurance Brokers,Insurance,Financials
Software & Programming,Software & Services,Information Technology
Airline,Transportation,Industrials
Apparel/Footwear Retail,Consumer Durables & Apparel,Consumer Discretionary
Aluminum,Materials,Materials
Discount Stores,Retailing,Consumer Discretionary
Electronics,Technology Hardware & Equipment,Information Technology
Conglomerates,Capital Goods,Industrials
Communications Equipment,Technology Hardware & Equipment,Information Technology
Iron & Steel,Materials,Materials
Property & Casualty Insurance,Insurance,Financials
Printing & Publishing,Media & Entertainment,Communication Services
Railroads,Transportation,Industrials
Computer Hardware,Technology Hardware & Equipment,Information Technology
Department Stores,Retailing,Consumer Discretionary
Paper & Paper Products,Materials,Materials
Medical Equipment & Supplies,Health Care Equipment & Services,Health Care
Home Improvement Retail,Retailing,Consumer Discretionary
Apparel/Accessories,Consumer Durables & Apparel,Consumer Discretionary
Hotels & Motels,Consumer Services,Consumer Discretionary
Advertising,Media & Entertainment,Communication Services
Diversified Chemicals,Materials,Materials
Security Systems,Commercial & Professional Services,Industrials
Telecommunications services,Telecommunication Services,Communication Services
Semiconductors,Semiconductors & Semiconductor Equipment,Information Technology
Trading Companies,Capital Goods,Industrials
Other Transportation,Transportation,Industrials
Diversified Metals & Mining,Materials,Materials
Heavy Equipment,Capital Goods,Industrials
Construction Services,Capital Goods,Industrials
Consumer Financial Services,Diversified Financials,Financials
Tobacco,"Food, Beverage & Tobacco",Consumer Staples
Specialty Stores,Retailing,Consumer Discretionary
Computer & Electronics Retail,Retailing,Consumer Discretionary
Electrical Equipment,Capital Goods,Industrials
Diversified Insurance,Insurance,Financials
Real Estate,Real Estate,Real Estate
Air Courier,Transportation,Industrials
Broadcasting & Cable,Media & Entertainment,Communication Services
Investment Services,Diversified Financials,Financials
Aerospace & Defense,Capital Goods,Industrials
Precision Healthcare Equipment,Health Care Equipment & Services,Health Care
Biotechs,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care
Environmental & Waste,Commercial & Professional Services,Industrials
Internet & Catalog Retail,Retailing,Consumer Discretionary
Auto & Truck Manufacturers,Automobiles & Components,Consumer Discretionary
Oil Services & Equipment,Energy,Energy
Casinos & Gaming,Consumer Services,Consumer Discretionary
Drug Retail,Food & Staples Retailing,Consumer Staples
Diversified Utilities,Utilities,Utilities
Regional Banks,Banks,Financial
Computer Services,Software & Services,Information Technology
Major Banks,Banks,Financial
Auto & Truck Parts,Automobiles & Components,Consumer Discretionary
Recreational Products,Consumer Durables & Apparel,Consumer Discretionary
Beverages,"Food, Beverage & Tobacco",Consumer Staples
Rental & Leasing,Diversified Financials,Financials
Healthcare Services,Health Care Equipment & Services,Health Care
Food Processing,"Food, Beverage & Tobacco",Consumer Staples
Natural Gas Utilities,Utilities,Utilities
Electric Utilities,Utilities,Utilities
Containers & Packaging,Materials,Materials
Household Appliances,Consumer Durables & Apparel,Consumer Discretionary
Computer Storage Devices,Technology Hardware & Equipment,Information Technology
Managed Health Care,Health Care Equipment & Services,Health Care
Restaurants,Consumer Services,Consumer Discretionary
Consumer Electronics,Consumer Durables & Apparel,Consumer Discretionary
Business Products & Supplies,Commercial & Professional Services,Industrials
Construction Materials,Materials,Materials
Specialized Chemicals,Materials,Materials
Oil & Gas Operations,Energy,Energy
Furniture & Fixtures,Consumer Durables & Apparel,Consumer Discretionary
Food Retail,Food & Staples Retailing,Consumer Staples
Household/Personal Care,Household & Personal Products,Consumer Staples
Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care
Movies & Entertainment,Media & Entertainment,Communication Services
Oil & Gas Exploration & Production,Energy,Energy

